page,chart,masked_text,bbox
1,Andromeda,ANDROMEDA,"(380.6152038574219, 408.0703125, 458.2672119140625, 421.0423278808594)"
1,Andromeda,ARIES,"(95.36318969726562, 567.38232421875, 128.24319458007812, 580.3543090820312)"
1,Andromeda,LACERTA,"(438.731201171875, 242.1942596435547, 489.5271911621094, 255.166259765625)"
1,Andromeda,PEGASUS,"(408.6951904296875, 546.5022583007812, 462.01116943359375, 559.4742431640625)"
1,Andromeda,TRIANGULUM,"(118.53518676757812, 450.71826171875, 197.11117553710938, 463.69024658203125)"
1,Andromeda,CASSIOPEIA,"(320.5907897949219, 272.59185791015625, 390.4187927246094, 285.5638427734375)"
1,Andromeda,PERSEUS,"(128.98678588867188, 267.2518310546875, 179.92678833007812, 280.22381591796875)"
1,Andromeda,PISCES,"(301.71478271484375, 582.4198608398438, 341.3027648925781, 595.391845703125)"
2,Antlia,ANTLIA,"(259.1156921386719, 399.28131103515625, 301.3196716308594, 412.2533264160156)"
2,Antlia,CRATER,"(110.43568420410156, 298.913330078125, 154.1396942138672, 311.88531494140625)"
2,Antlia,HYDRA,"(228.08367919921875, 315.641357421875, 268.4996643066406, 328.61334228515625)"
2,Antlia,PYXIS,"(452.7476806640625, 327.54534912109375, 485.49566650390625, 340.517333984375)"
2,Antlia,VELA,"(339.75567626953125, 488.8973388671875, 368.4356384277344, 501.86932373046875)"
2,Antlia,CENTAURUS,"(131.05320739746094, 498.68560791015625, 200.55722045898438, 511.6576232910156)"
3,Apus,APUS,"(210.52589416503906, 392.01568603515625, 240.78988647460938, 404.9877014160156)"
3,Apus,ARA,"(173.3618927001953, 216.8636932373047, 196.22189331054688, 229.835693359375)"
3,Apus,CHAMAE,"(374.9378967285156, 508.51171875, 430.077880859375, 521.4837036132812)"
3,Apus,LEON,"(387.06988525390625, 525.9837036132812, 417.9338684082031, 538.9556884765625)"
3,Apus,CIRCINUS,"(357.597900390625, 196.7637176513672, 413.5779113769531, 209.7357177734375)"
3,Apus,MUSCA,"(430.8699035644531, 380.55572509765625, 472.5459289550781, 393.5277099609375)"
3,Apus,OCTANS,"(178.16189575195312, 549.875732421875, 224.9138946533203, 562.8477172851562)"
3,Apus,TRIANGULUM,"(253.43789672851562, 245.3636932373047, 332.01385498046875, 258.335693359375)"
3,Apus,AUSTRALE,"(241.48880004882812, 293.49176025390625, 300.8888244628906, 306.4637451171875)"
3,Apus,CENTAURUS,"(416.17279052734375, 279.895751953125, 485.6767883300781, 292.86773681640625)"
3,Apus,PAVO,"(100.51278686523438, 328.44775390625, 130.7047882080078, 341.41973876953125)"
4,Aquarius,AQUARIUS,"(251.9149932861328, 431.91119384765625, 312.7549743652344, 444.8832092285156)"
4,Aquarius,CAPRICORNUS,"(390.74298095703125, 483.60723876953125, 475.0669860839844, 496.5792236328125)"
4,Aquarius,DELPHINUS,"(402.10699462890625, 243.4032440185547, 469.39093017578125, 256.375244140625)"
4,Aquarius,EQUULEUS,"(358.1629943847656, 291.24725341796875, 420.79095458984375, 304.21923828125)"
4,Aquarius,MICROSCOPIUM,"(347.59100341796875, 546.3312377929688, 442.29498291015625, 559.30322265625)"
4,Aquarius,PEGASUS,"(233.17100524902344, 247.6632537841797, 286.487060546875, 260.63525390625)"
4,Aquarius,PISCIS AUSTRINUS,"(232.31900024414062, 542.8992919921875, 340.5589904785156, 555.8712768554688)"
4,Aquarius,SCULPTOR,"(148.22299194335938, 498.0672607421875, 209.15899658203125, 511.0392761230469)"
4,Aquarius,PISCES,"(89.45610046386719, 317.99560546875, 129.04409790039062, 330.96759033203125)"
4,Aquarius,AQUILA,"(446.444091796875, 373.819580078125, 490.72406005859375, 386.7915954589844)"
4,Aquarius,CETUS,"(102.99209594726562, 427.6995849609375, 139.78408813476562, 440.6716003417969)"
5,Aquila,AQUILA,"(271.90032958984375, 385.0113525390625, 308.8003234863281, 395.82135009765625)"
